"Latitude_WGS84";"Name";"AdmArea";"District";"Location";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Longitude_WGS84";"global_id";"geodata_center";"geoarea";
"55.769308719";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Новая Басманная улица, дом 4, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.653084847";"276298117";"010100000068B0C54898D34240FB5046B578E24B40";"";
"55.769692198";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Новая Басманная улица, дом 7";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.654458478";"276298119";"0101000000CBCC9F4BC5D34240BC32214685E24B40";"";
"55.765216921";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 13, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.659378398";"276298121";"0101000000A88CE78266D442403905C9A0F2E14B40";"";
"55.767529404";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.666264797";"276298122";"0101000000A8CB342A48D54240FE724C673EE24B40";"";
"55.767096294";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 23/9, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.664446511";"276298123";"0101000000D95751950CD5424070CE1B3630E24B40";"";
"55.768620654";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 33";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.667454947";"276298124";"01010000008F75E8296FD54240E6FA5D2962E24B40";"";
"55.768975817";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 34";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.668718073";"276298125";"0101000000BBE3C68D98D5424006B7B0CC6DE24B40";"";
"55.769269653";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 38/2, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.669297863";"276298126";"0101000000106F688DABD542405BB8906D77E24B40";"";
"55.773183423";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 33/2, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.67890522";"276298127";"0101000000E97DC25DE6D6424013CCA5ACF7E24B40";"";
"55.772561377";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 33/2, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.678719016";"276298128";"01010000005872C443E0D64240122F8C4AE3E24B40";"";
