Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,147.450369318891,146.853700912865,156.017928968003,182.04408505959,162.169576659527,180.017300692806,190.636219898554,192.126267255731,203.783403883256,227.65871142288,236.533778684278,253.728448308523,267.837318504381,339.387246515973,409.668541748099,424.337380289061,411.062391144669,455.75389865726,495.546623351715,563.384517232312,687.800392555771,684.453944647069,641.08014823215,643.097823937926,570.820524707177,495.1211285723,541.833346594177,643.095686408259,656.626462381489,656.46574609777,696.223892084849,703.654678328743,682.586850647686,665.242926103381,659.58990235977,722.169715944714,701.734197365789,718.854277635003,660.471966435214,635.14336774755,672.205473631029,591.088444237775,589.206823548332,757.449758687107,916.603366664942,1037.72705705399,1142.95590243025,1278.97134075227,1356.52994809552,1326.25154902931,1550.12122522488,1682.28726291271,1667.99261832877,1648.86751404089,1654.31486493049,1503.85933402398,1401.28105252106,1536.20678264071,1530.16191737441,1481.42529193585,1326.66365762056,
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,130836765,134159786,137614644,141202036,144920186,148769974,152752671,156876454,161156430,165611760,170257189,175100167,180141148,185376550,190800796,196409937,202205766,208193045,214368393,220740384,227305945,234058404,240999134,248146290,255530063,263161451,271050065,279184536,287524258,296024639,304648010,313394693,322270073,331265579,340379934,349605660,358953595,368440591,378098393,387977990,398113044,408522129,419223717,430246635,441630149,453404076,465581372,478166911,491173160,504604672,518468229,532760424,547482863,562601578,578075373,593871847,609978946,626392880,643090131,660046272,677243299,
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,107.963778616651,113.114696953784,118.865837440142,123.478966568545,131.892938958314,138.566819440514,144.368394634907,128.620050961971,129.678996354687,143.757635300556,195.490684201364,169.168528863905,200.226910297762,241.782075260994,333.289875473385,377.898462957787,444.504298338287,454.923087827076,482.618499758549,584.544785353761,718.901921950146,1317.31654898202,1136.79468344735,816.139285944852,656.904775547102,651.700457485045,585.07829234262,584.290054262687,561.525597688105,510.568346251939,594.899599576292,558.5990402193,547.823070701764,438.26231068767,376.354920811847,459.364903240959,495.779036379884,486.52301634998,484.090741631737,500.436179658533,502.031661993901,516.927933754647,605.061007142956,681.882359233506,826.816538201166,988.839393612544,1224.05761209197,1400.08600739197,1666.89984716336,1444.20189894288,1655.13013813728,1827.51834682635,1936.39096169927,2123.39243327941,2166.74330941761,1886.24815793403,1666.42240647892,1606.97833161683,1695.95921508335,1772.33915484035,1714.42679990415,
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,96396419,98407221,100506960,102691339,104953470,107289875,109701811,112195950,114781116,117468741,120269044,123184308,126218502,129384954,132699537,136173544,139813171,143615715,147571063,151663853,155882270,160223588,164689764,169279422,173991851,178826553,183785612,188868567,194070079,199382783,204803865,210332267,215976366,221754806,227692136,233807627,240114179,246613750,253302310,260170348,267214544,274433894,281842480,289469530,297353098,305520588,313985474,322741656,331772330,341050537,350556886,360285439,370243017,380437896,390882979,401586651,412551299,423769930,435229381,446911598,458803476,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,307.586978427858,328.319306388199,359.546985206109,404.827504441947,469.974023430096,578.695263800674,1063.54550935109,1143.76123485064,1377.56066831339,1536.22921195257,1632.79826877345,2138.82449428602,2802.49449416841,2801.16054936606,2549.40759687205,2324.84607893337,2288.08680748475,2198.46705991609,2038.48967883617,2112.07153960577,2019.82719930477,2060.16151383428,2750.96030380503,1857.8212473075,1952.88824680536,1925.11321459242,1930.00253503908,2044.92596612766,2191.20168192865,2309.37053326063,2182.00789574685,2377.02301789138,2678.31451435377,2536.78625625637,2484.84518532932,2696.04692255445,3134.87247923642,3765.92729440976,4360.06424987312,4963.69998277986,6149.711791448,5180.55546994238,5948.6743487116,6870.09861649395,7455.04188103252,7505.17419152737,7436.58007789529,6346.03234681792,6093.33100860206,6095.66342966197,6568.98405167902,6570.174197334,5802.10412863519,
Arab World,ARB,"Population, total",SP.POP.TOTL,92197715,94724540,97334438,100034191,102832792,105736428,108758634,111899335,115136161,118437193,121785630,125164720,128598743,132161302,135952270,140040580,144453278,149161836,154111160,159218539,164420771,169698978,175061794,180505967,186035280,191650328,197338140,203084958,208889669,214753965,222653371,228731671,232956364,239243294,245449429,253107302,259000937,264822167,270575777,276393809,282344141,288432153,294665202,301113869,307862846,314965776,322452764,330290752,338395936,346629179,354890097,363156846,371437642,379696477,387899835,396028301,404042892,411942825,419851989,427870273,436080728,
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,448.256417447372,476.901483888726,494.736371870331,516.739524018496,547.950527291194,580.944135963881,621.434727092336,658.350898363451,645.928307266593,695.03898174207,755.144559357994,811.131747023846,925.527534480403,1000.86236268925,1285.49330305829,1485.16132917954,1511.87493810205,1736.7491543316,1759.82502005686,1999.18848673151,2461.65588353741,2683.65522411158,2940.21279062542,2942.71916948449,2778.89334709211,2722.82827481247,2466.29909898147,2633.11644457619,2775.62222203278,2827.68862333084,2997.31956302458,2951.05963766122,2875.1897212525,3084.66082821993,3214.05180792654,3514.10074340163,3803.62328864531,4421.50707411154,4690.20395190482,4938.52388005065,5253.44208546355,5374.08324483209,5600.44257362276,5945.87788921608,6459.56537666113,7255.1440884144,8201.29050639659,9054.85142793131,10225.3804292715,8578.71674660641,9253.21402705864,9920.91016586116,10187.3015094906,10306.8881563558,10377.1128904417,10116.5199455208,9560.1946792766,9810.47006759449,10250.434070083,10355.4076837653,9192.76780070435,
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,4194711,4274052,4353623,4432240,4508189,4580382,4648353,4712556,4773890,4833839,4893444,4953088,5012600,5071912,5130797,5189174,5246547,5303289,5360562,5419911,5482191,5548521,5617902,5687113,5751508,5808206,5855445,5894820,5930153,5967028,6009262,6058334,6112784,6170324,6227332,6281204,6331277,6378551,6423851,6468461,6513486,6559097,6604966,6650981,6696985,6742657,6788122,6833394,6878973,6925446,6973193,7022367,7072640,7123315,7173443,7222197,7269385,7314956,7358929,7401389,7442291,
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2313.56443133046,2196.17867404012,2359.79952876444,2489.80230130814,2824.86293514625,3578.6153664721,3793.6350179595,3745.61009951245,4106.19954694038,3986.19600963513,3946.84329443366,4352.34033814784,4936.0393380702,5943.43906853347,7171.17416938522,8356.2676708828,9474.9760539653,12012.3922167503,14585.4147248746,12304.5556599839,12608.3828748389,13907.6718175511,13014.5058131852,13712.8087030772,14153.7476240321,12513.2018363306,12822.3762230609,14238.1967661396,16034.7149702111,16294.3770005943,16082.4577103005,
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,91401764,92232738,93009498,93840016,94715795,95440988,96146336,97043270,97884022,98606630,99134548,99635258,100357161,101112680,101939916,102860571,103776068,104616884,105329397,105948616,106541316,107129392,107730380,108297837,108838073,109338285,109824166,110296425,110686740,110801640,110743128,110469467,110111454,110041924,110021594,109864246,109626194,109422013,109238340,109060951,108447824,107660041,106959751,106624167,106331716,106041911,105772481,105378748,105001883,104800475,104421447,104174038,103935318,103713726,103496179,103257886,102994278,102740078,102538451,102398537,102246330,
