id,type,title,director,country,release_year,rating,duration,listed_in
0,Movie,Puppy Star Christmas,Robert Vince,United States,2018,PG,91 min,"Children & Family Movies, Comedies"
1,TV Show,Age of Tanks,Not Given,Germany,2017,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV"
2,TV Show,Pokémon Journeys: The Series,Not Given,Pakistan,2021,TV-Y7,4 Seasons,"Anime Series, Kids' TV, TV Action & Adventure"
3,Movie,Patiala House,Nikhil Advani,India,2011,TV-PG,140 min,"Dramas, International Movies, Sports Movies"
4,TV Show,Alien TV,Not Given,Pakistan,2021,TV-Y7,2 Seasons,"Kids' TV, TV Comedies"
5,Movie,Open Season,"Roger Allers, Jill Culton",United States,2006,PG,86 min,"Children & Family Movies, Comedies"
6,Movie,Yeh Hai Bakrapur,Not Given,India,2014,TV-PG,95 min,"Comedies, Dramas, Independent Movies"
7,Movie,Nate Bargatze: The Tennessee Kid,Ryan Polito,United States,2019,TV-PG,61 min,Stand-Up Comedy
8,Movie,Yo-Kai Watch: The Movie,Mark Risley,Japan,2016,TV-Y7,96 min,"Anime Features, Children & Family Movies"
9,Movie,Laatu,Manav Shah,India,2018,TV-PG,116 min,"Comedies, Dramas, International Movies"
10,Movie,Betting on Zero,Ted Braun,United States,2017,TV-PG,104 min,Documentaries
11,Movie,A 3 Minute Hug,Everardo González,Mexico,2019,TV-PG,28 min,"Documentaries, International Movies"
12,TV Show,Great Yellowstone Thaw,Not Given,United Kingdom,2017,TV-PG,1 Season,"Docuseries, Science & Nature TV"
13,Movie,The Adventures of Sharkboy and Lavagirl,Robert Rodriguez,United States,2005,PG,93 min,Children & Family Movies
14,Movie,Falling Inn Love,Roger Kumble,United States,2019,TV-PG,98 min,"Comedies, Romantic Movies"
15,Movie,Beethoven's 2nd,Rod Daniel,United States,1993,PG,88 min,"Children & Family Movies, Comedies"
16,Movie,Luccas Neto in: Summer Camp,Lucas Margutti,Brazil,2019,TV-G,87 min,"Children & Family Movies, Comedies, Music & Musicals"
17,Movie,Monster Hunter: Legends of the Guild,Steven Yamamoto,United States,2021,TV-PG,59 min,"Action & Adventure, Anime Features, Children & Family Movies"
18,TV Show,Ricky Zoom,Not Given,China,2019,TV-Y,1 Season,"British TV Shows, Kids' TV"
19,Movie,Lagaan,Ashutosh Gowariker,India,2001,PG,224 min,"Dramas, International Movies, Music & Musicals"
20,Movie,Coffee for All,"Fluvio Iannuci, Roly Santos",Italy,2017,TV-PG,69 min,"Documentaries, International Movies"
21,Movie,The Jungle School,Riri Riza,Indonesia,2013,TV-PG,90 min,"Dramas, International Movies"
22,TV Show,Moesha,Not Given,United States,2000,TV-PG,6 Seasons,"TV Comedies, Teen TV Shows"
23,TV Show,Yo-Kai Watch,Not Given,United States,2015,TV-Y7,1 Season,"Anime Series, Kids' TV"
24,Movie,Untamed Romania,Tom Barton-Humphreys,Romania,2018,TV-PG,93 min,"Children & Family Movies, Documentaries, International Movies"
25,Movie,The Polar Express,Robert Zemeckis,United States,2004,G,100 min,Children & Family Movies
26,Movie,Lift Like a Girl,Mayye Zayed,Egypt,2021,TV-PG,93 min,"Documentaries, International Movies, Sports Movies"
27,TV Show,Oh No! It's an Alien Invasion,Not Given,Canada,2014,TV-Y7-FV,2 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy"
28,Movie,The Nutcracker and the Four Realms,"Lasse Hallström, Joe Johnston",United States,2018,PG,99 min,Children & Family Movies
29,Movie,The Smurfs 2,Raja Gosnell,United States,2013,PG,105 min,"Children & Family Movies, Comedies"
30,Movie,Invader Zim: Enter the Florpus,Not Given,South Korea,2019,TV-Y7,72 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
31,Movie,Bandie,Alo Sarkar,India,1978,TV-PG,141 min,"Action & Adventure, Dramas, International Movies"
32,Movie,The Letter Reader,Sibusiso Khuzwayo,South Africa,2019,TV-PG,30 min,"Dramas, International Movies"
33,Movie,The Rat Race,Miriam Chandy Menacherry,India,2010,TV-PG,52 min,"Documentaries, International Movies"
